UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.216,0.719,1.065,-0.244,0.719,1.065,-0.244,1.000,0.552,108.361,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.225,0.720,1.065,-0.245,0.720,1.065,-0.245,1.000,0.553,108.735,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.234,0.723,1.061,-0.258,0.723,1.061,-0.258,1.000,0.557,111.295,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.242,0.722,1.063,-0.253,0.722,1.063,-0.253,1.000,0.556,110.427,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.252,0.723,1.062,-0.255,0.723,1.062,-0.255,1.000,0.556,110.858,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.258,0.723,1.061,-0.257,0.723,1.061,-0.257,1.000,0.557,111.272,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.267,0.724,1.061,-0.259,0.724,1.061,-0.259,1.000,0.558,111.700,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.275,0.724,1.060,-0.260,0.724,1.060,-0.260,1.000,0.559,112.126,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.283,0.725,1.059,-0.262,0.725,1.059,-0.262,1.000,0.560,112.558,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.291,0.726,1.059,-0.263,0.726,1.059,-0.263,1.000,0.560,112.986,
0,HOMOGENEOUS,M_NONE,4,0,TIGHT,COARSE,0.748,1.244,-0.432,855.300,0.726,1.058,-0.265,0.726,1.058,-0.265,1.000,0.561,113.404,
