UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.950,0.463,1.239,0.206,3.409,1.239,1.844,-1.000,0.503,84.353,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.958,0.464,1.239,0.204,3.410,1.239,1.840,-1.000,0.503,83.312,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.967,0.464,1.238,0.203,3.410,1.238,1.837,-1.000,0.502,81.640,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.975,0.464,1.238,0.201,3.411,1.238,1.834,-1.000,0.501,80.115,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.985,0.464,1.237,0.200,3.411,1.237,1.831,-1.000,0.500,78.594,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.992,0.463,1.237,0.199,3.410,1.237,1.829,-1.000,0.498,76.614,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.001,0.462,1.236,0.198,3.409,1.236,1.826,-1.000,0.497,74.631,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.008,0.462,1.236,0.197,3.408,1.236,1.824,-1.000,0.495,72.832,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.018,0.461,1.235,0.196,3.406,1.235,1.821,-1.000,0.493,70.184,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.025,0.460,1.235,0.194,3.404,1.235,1.818,-1.000,0.490,67.888,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.034,0.459,1.235,0.193,3.402,1.235,1.815,-1.000,0.487,65.176,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.042,0.458,1.235,0.192,3.400,1.235,1.812,-1.000,0.484,62.596,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,764.050,0.457,1.235,0.191,3.398,1.235,1.808,-1.000,0.481,60.187,
