UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.765,-0.345,1.088,0.201,-6.665,1.088,3.883,-1.000,0.464,66.374,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.773,-0.347,1.086,0.201,-6.669,1.086,3.882,-1.000,0.469,67.905,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.781,-0.355,1.079,0.202,-6.694,1.079,3.887,-1.000,0.491,74.572,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.787,-0.353,1.081,0.201,-6.687,1.081,3.885,-1.000,0.484,72.594,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.796,-0.354,1.079,0.202,-6.691,1.079,3.886,-1.000,0.488,73.921,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.803,-0.356,1.077,0.202,-6.695,1.077,3.886,-1.000,0.492,75.316,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.812,-0.357,1.076,0.202,-6.699,1.076,3.887,-1.000,0.496,76.654,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.821,-0.358,1.074,0.202,-6.702,1.074,3.888,-1.000,0.499,78.007,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.829,-0.359,1.073,0.202,-6.706,1.073,3.888,-1.000,0.503,79.301,
4,HOMOGENEOUS,M_8,2,0,TIGHT,COARSE,-6.810,1.244,3.932,181.837,-0.360,1.071,0.202,-6.708,1.071,3.888,-1.000,0.506,80.486,
