UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.937,-0.177,1.139,-0.329,0.153,1.139,-3.747,0.927,0.353,50.774,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.946,-0.178,1.139,-0.330,0.152,1.139,-3.748,0.935,0.354,51.038,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.954,-0.179,1.138,-0.331,0.151,1.138,-3.749,0.932,0.355,51.226,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.963,-0.183,1.138,-0.335,0.148,1.138,-3.753,0.930,0.357,52.040,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.971,-0.183,1.138,-0.335,0.148,1.138,-3.753,1.061,0.357,52.034,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.979,-0.184,1.138,-0.336,0.147,1.138,-3.754,0.930,0.358,52.337,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.987,-0.185,1.137,-0.337,0.146,1.137,-3.755,0.929,0.359,52.641,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,346.996,-0.186,1.137,-0.338,0.145,1.137,-3.756,0.936,0.359,52.947,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.009,-0.187,1.137,-0.339,0.144,1.137,-3.757,0.935,0.360,53.229,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.016,-0.188,1.137,-0.341,0.143,1.137,-3.758,0.937,0.361,53.487,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.023,-0.189,1.137,-0.342,0.142,1.137,-3.759,0.935,0.362,53.706,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.029,-0.190,1.137,-0.343,0.141,1.137,-3.760,0.941,0.363,53.889,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.038,-0.191,1.137,-0.344,0.140,1.137,-3.761,0.936,0.364,54.057,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.046,-0.192,1.137,-0.345,0.139,1.137,-3.762,0.938,0.364,54.222,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.055,-0.193,1.137,-0.346,0.138,1.137,-3.763,0.928,0.365,54.411,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.062,-0.194,1.136,-0.347,0.138,1.136,-3.764,0.932,0.366,54.661,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.071,-0.195,1.136,-0.348,0.137,1.136,-3.765,0.923,0.367,54.955,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.079,-0.196,1.136,-0.349,0.136,1.136,-3.766,0.927,0.368,55.285,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.087,-0.197,1.136,-0.350,0.135,1.136,-3.767,0.924,0.368,55.607,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.096,-0.198,1.135,-0.351,0.134,1.135,-3.768,0.936,0.369,55.897,
4,NAVIFIELD,M_4,2,5,TIGHT,COARSE,0.000,1.244,-3.864,347.104,-0.199,1.135,-0.352,0.133,1.135,-3.769,0.936,0.370,56.093,
