UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.901,0.387,1.194,0.147,6.819,1.194,3.732,-1.000,0.442,54.391,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.909,0.386,1.195,0.148,6.818,1.195,3.736,-1.000,0.442,54.065,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.917,0.389,1.194,0.156,6.826,1.194,3.764,-1.000,0.456,57.092,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.925,0.388,1.195,0.153,6.822,1.195,3.755,-1.000,0.451,55.553,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.932,0.388,1.195,0.154,6.822,1.195,3.759,-1.000,0.451,55.556,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.941,0.388,1.195,0.156,6.822,1.195,3.763,-1.000,0.452,55.613,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.950,0.388,1.196,0.157,6.822,1.196,3.766,-1.000,0.453,55.609,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.957,0.388,1.196,0.158,6.822,1.196,3.770,-1.000,0.454,55.647,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.967,0.387,1.197,0.159,6.821,1.197,3.773,-1.000,0.454,55.504,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.974,0.387,1.197,0.160,6.821,1.197,3.775,-1.000,0.454,55.323,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.983,0.387,1.198,0.161,6.820,1.198,3.778,-1.000,0.454,55.172,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,576.990,0.386,1.198,0.162,6.819,1.198,3.781,-1.000,0.454,54.921,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.002,0.386,1.199,0.162,6.818,1.199,3.784,-1.000,0.454,54.547,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.008,0.385,1.200,0.163,6.817,1.200,3.786,-1.000,0.453,54.116,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.015,0.384,1.201,0.164,6.815,1.201,3.789,-1.000,0.453,53.656,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.024,0.384,1.201,0.165,6.814,1.201,3.792,-1.000,0.452,53.061,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.032,0.383,1.202,0.166,6.812,1.202,3.794,-1.000,0.452,52.520,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.041,0.382,1.203,0.167,6.810,1.203,3.796,-1.000,0.450,51.703,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.049,0.381,1.204,0.167,6.808,1.204,3.798,-1.000,0.449,50.936,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.057,0.380,1.205,0.168,6.806,1.205,3.800,-1.000,0.447,50.038,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.066,0.379,1.206,0.168,6.803,1.206,3.801,-1.000,0.445,48.958,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.075,0.378,1.207,0.169,6.800,1.207,3.802,-1.000,0.443,47.961,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.082,0.377,1.208,0.169,6.797,1.208,3.803,-1.000,0.440,46.800,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.091,0.376,1.209,0.170,6.794,1.209,3.804,-1.000,0.438,45.612,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.098,0.375,1.210,0.170,6.792,1.210,3.806,-1.000,0.437,44.572,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.108,0.374,1.212,0.171,6.789,1.212,3.806,-1.000,0.433,42.935,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.115,0.373,1.213,0.171,6.786,1.213,3.807,-1.000,0.431,41.487,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.124,0.371,1.215,0.171,6.782,1.215,3.808,-1.000,0.428,39.823,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.133,0.370,1.216,0.171,6.779,1.216,3.808,-1.000,0.425,38.262,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.140,0.369,1.217,0.172,6.776,1.217,3.809,-1.000,0.422,36.881,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.149,0.367,1.219,0.172,6.772,1.219,3.808,-1.000,0.418,35.271,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.157,0.366,1.220,0.172,6.769,1.220,3.808,-1.000,0.415,33.791,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.166,0.365,1.221,0.172,6.765,1.221,3.807,-1.000,0.411,32.355,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.179,0.363,1.223,0.172,6.761,1.223,3.807,-1.000,0.407,31.012,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.186,0.361,1.224,0.171,6.756,1.224,3.805,-1.000,0.403,29.732,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.193,0.360,1.225,0.171,6.752,1.225,3.804,-1.000,0.398,28.563,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.202,0.358,1.226,0.171,6.746,1.226,3.801,-1.000,0.392,27.439,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.208,0.356,1.227,0.170,6.740,1.227,3.799,-1.000,0.386,26.391,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.216,0.354,1.228,0.169,6.734,1.228,3.796,-1.000,0.380,25.465,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.224,0.353,1.229,0.169,6.729,1.229,3.793,-1.000,0.374,24.652,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.233,0.351,1.230,0.168,6.723,1.230,3.790,-1.000,0.369,23.927,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.241,0.349,1.231,0.168,6.717,1.231,3.788,-1.000,0.363,23.250,
4,HOMOGENEOUS,M_8,4,0,TIGHT,COARSE,6.810,1.244,3.932,577.249,0.347,1.232,0.167,6.711,1.232,3.784,-1.000,0.357,22.608,
