UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.510,0.059,1.627,0.814,0.027,1.627,1.706,1.000,0.265,6.900,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.518,0.059,1.628,0.815,0.027,1.628,1.708,1.000,0.263,6.905,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.527,0.059,1.628,0.817,0.027,1.628,1.710,1.000,0.261,6.900,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.534,0.058,1.628,0.819,0.027,1.628,1.711,1.000,0.260,6.878,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.543,0.058,1.627,0.820,0.026,1.627,1.713,1.000,0.258,6.848,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.551,0.058,1.627,0.822,0.026,1.627,1.715,1.000,0.257,6.798,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.560,0.058,1.627,0.823,0.026,1.627,1.716,1.000,0.256,6.759,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.568,0.058,1.626,0.825,0.026,1.626,1.718,1.000,0.254,6.682,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.577,0.058,1.626,0.826,0.026,1.626,1.719,1.000,0.253,6.647,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.585,0.058,1.626,0.828,0.026,1.626,1.721,1.000,0.251,6.619,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.593,0.057,1.625,0.829,0.026,1.625,1.722,1.000,0.250,6.613,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.605,0.057,1.625,0.831,0.026,1.625,1.724,1.000,0.248,6.642,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.611,0.057,1.624,0.832,0.025,1.624,1.725,1.000,0.247,6.699,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.619,0.057,1.624,0.834,0.025,1.624,1.727,1.000,0.245,6.727,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.627,0.057,1.623,0.835,0.025,1.623,1.728,1.000,0.244,6.730,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.636,0.057,1.622,0.837,0.025,1.622,1.730,1.000,0.242,6.725,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.644,0.057,1.621,0.838,0.025,1.621,1.731,1.000,0.241,6.656,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.652,0.056,1.620,0.840,0.025,1.620,1.732,1.000,0.239,6.573,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.660,0.056,1.619,0.841,0.025,1.619,1.734,1.000,0.238,6.434,
0,NAVIFIELD,M_2,4,0,TIGHT,TIGHT,0.000,1.395,2.413,558.669,0.056,1.618,0.842,0.024,1.618,1.735,1.000,0.237,6.301,
