UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.910,-0.022,1.579,0.843,-0.091,1.579,3.736,4.000,0.473,21.722,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.918,-0.022,1.578,0.845,-0.087,1.578,3.744,4.000,0.467,21.409,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.926,-0.021,1.577,0.847,-0.084,1.577,3.752,4.000,0.462,21.136,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.934,-0.020,1.576,0.849,-0.081,1.576,3.759,4.000,0.456,20.890,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.942,-0.019,1.575,0.850,-0.078,1.575,3.767,4.000,0.451,20.698,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.951,-0.019,1.574,0.852,-0.075,1.574,3.774,4.000,0.446,20.582,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.959,-0.018,1.573,0.854,-0.072,1.573,3.781,4.000,0.441,20.502,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.967,-0.017,1.571,0.855,-0.069,1.571,3.787,4.000,0.437,20.543,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.976,-0.016,1.570,0.857,-0.066,1.570,3.792,4.000,0.432,20.600,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.984,-0.016,1.569,0.858,-0.063,1.569,3.798,4.000,0.428,20.682,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,754.992,-0.015,1.568,0.860,-0.060,1.568,3.804,4.000,0.424,20.717,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.001,-0.014,1.566,0.861,-0.058,1.566,3.809,4.000,0.420,20.764,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.010,-0.014,1.565,0.862,-0.055,1.565,3.814,4.000,0.416,20.759,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.018,-0.013,1.564,0.863,-0.052,1.564,3.819,4.000,0.413,20.748,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.027,-0.012,1.564,0.864,-0.050,1.564,3.823,4.000,0.410,20.713,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.035,-0.012,1.563,0.865,-0.047,1.563,3.827,4.000,0.407,20.702,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.043,-0.011,1.562,0.866,-0.044,1.562,3.830,4.000,0.404,20.741,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.054,-0.010,1.561,0.867,-0.042,1.561,3.832,4.000,0.402,20.824,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.060,-0.010,1.561,0.867,-0.039,1.561,3.834,4.000,0.400,20.922,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.068,-0.009,1.560,0.868,-0.037,1.560,3.836,4.000,0.398,21.059,
0,HOMOGENEOUS,M_4,4,4,COARSE,TIGHT,0.000,1.395,4.413,755.076,-0.008,1.560,0.868,-0.034,1.560,3.836,4.000,0.397,21.284,
