UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.185,0.044,0.983,0.502,0.002,0.983,1.701,1.023,0.312,110.144,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.192,0.044,0.982,0.502,0.002,0.982,1.702,1.042,0.313,110.231,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.202,0.045,0.982,0.503,0.003,0.982,1.702,1.054,0.313,110.281,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.209,0.045,0.982,0.503,0.003,0.982,1.702,1.033,0.314,110.299,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.218,0.046,0.982,0.504,0.004,0.982,1.703,1.023,0.315,110.236,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.226,0.047,0.982,0.504,0.005,0.982,1.704,0.999,0.316,110.155,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.235,0.047,0.982,0.505,0.005,0.982,1.704,1.028,0.317,110.054,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.243,0.048,0.982,0.506,0.006,0.982,1.705,1.015,0.317,109.999,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.251,0.049,0.981,0.507,0.007,0.981,1.706,1.019,0.318,109.957,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.259,0.050,0.981,0.507,0.008,0.981,1.706,1.025,0.319,109.975,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.268,0.051,0.981,0.508,0.009,0.981,1.707,1.079,0.320,110.068,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.282,0.051,0.980,0.508,0.010,0.980,1.707,1.071,0.321,110.167,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.290,0.052,0.980,0.509,0.010,0.980,1.708,1.063,0.322,110.301,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.297,0.053,0.979,0.509,0.011,0.979,1.709,1.045,0.323,110.417,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.304,0.054,0.979,0.510,0.012,0.979,1.709,1.029,0.324,110.493,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.311,0.054,0.978,0.510,0.013,0.978,1.710,1.042,0.325,110.574,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.318,0.055,0.978,0.511,0.014,0.978,1.711,1.029,0.326,110.647,
4,NAVIFIELD,M_2,2,5,TIGHT,COARSE,0.000,1.244,1.864,230.326,0.056,0.977,0.512,0.014,0.977,1.711,1.019,0.327,110.740,
